year,year_level,state,attribute,subgroup,grammar_punctuation_nas,numeracy_nas,reading_nas,spelling_nas,writing_nas
2023,3,Australia,ABS remoteness,Inner regional,17.188876305524097,11.677123595505616,11.31753963403674,14.91775872296824,7.528938097634624
2023,3,Australia,ABS remoteness,Major cities,10.55312973515163,8.169079011955729,7.1172913012117105,8.679343534583946,4.607833513301266
2023,3,Australia,ABS remoteness,Outer regional,21.895963841091117,16.147196446982313,15.357964005391263,18.214257394338276,10.651389604725845
2023,3,Australia,ABS remoteness,Remote,32.40029725043349,26.68813475352985,24.478573197919246,28.10998266039138,20.262246412666997
2023,3,Australia,ABS remoteness,Very remote,58.334509527170084,54.220183486238525,49.04409171075837,53.31686661961892,46.13973182780522
2023,3,Australia,All,All,13.279440708799772,10.035081183446648,9.073085328300387,11.138450649132936,6.147160346668653
2023,3,Australia,Gender,Female,11.452702055210217,10.845935154128734,7.384263547569008,9.711043959905192,4.043845696874461
2023,3,Australia,Gender,Male,15.007821984911724,9.269409426702344,10.670958935549528,12.487995216206912,8.135097753806571
2023,3,Australia,Indigeneity,Indigenous,40.032965997927846,34.239156030706916,30.5363786202025,34.67269473485919,25.908170473275256
2023,3,Australia,Indigeneity,Non-Indigenous,11.246479773599772,8.193884356350793,7.456230974683588,9.351587254966327,4.659717159432107
2023,3,Australia,Language background,LBOTE,10.83793497280929,9.823962109939854,8.056705189593572,8.01156784056498,5.207095631764792
2023,3,Australia,Language background,Non-LBOTE,14.158885892086365,9.940593679934077,9.379427952806825,12.395264945554537,6.446068804307216
2023,3,Australia,Parental education,Parental education: Year 11,36.18970491471377,30.53505441660339,27.29885639105354,30.621045705319638,21.30634960789274
2023,3,Australia,Parental education,Parental education: Year 12,21.464363614926608,17.646503950005897,15.10904161263704,17.047692035606907,10.726961853664289
2023,3,Australia,Parental education,Parental education: bachelor,5.2272029679847325,3.5122979808090107,3.2171238315106794,4.512964915324356,1.8230949378490364
2023,3,Australia,Parental education,Parental education: certificate,20.07339890302003,14.919660492179576,13.732068270680706,16.772316602831864,9.191475733596658
2023,3,Australia,Parental education,Parental education: diploma,13.590918416193665,9.689964893083483,8.86168854850474,11.301374546946592,5.483554805917079
2023,3,Australia,Parental education,Parental education: not stated,18.80841400741006,15.56684396103508,13.567586948727142,15.827656268674556,10.434366971380774
2023,3,Australia,Parental occupation,Not in paid work for 12 months,30.063751258248516,25.52606069644322,22.23514500857377,25.513178988181785,17.51798695246971
2023,3,Australia,Parental occupation,Other managers and associate professionals,8.683889037871339,5.6606922033999325,5.503843632679817,7.441375405977177,3.2903812063340734
2023,3,Australia,Parental occupation,Parental occupation not stated/unknown,21.472997572815533,17.962372932787137,15.74560072815534,17.785952669902912,12.112547874559173
2023,3,Australia,Parental occupation,Senior managers and professionals,5.458474584950686,3.4676089517078914,3.361564852270981,4.966253238972132,1.9504951509006934
2023,3,Australia,Parental occupation,"Skilled trades, clerical and sales",14.901190019193859,10.798286424985031,10.000460610154919,12.194088291746642,6.035650131269863
2023,3,Australia,Parental occupation,"Unskilled manual, office & sales",20.968625944423103,16.710293778654304,14.395902688860435,16.803688052247406,9.898839859656313
2023,3,Australian Capital Territory,ABS remoteness,Major cities,11.817285573447256,8.360170883996057,7.9000985869208025,10.953006901084454,5.8330594807755505
2023,3,Australian Capital Territory,All,All,11.855619360131255,8.400328137817883,7.934372436423297,10.986054142739953,5.867104183757179
2023,3,Australian Capital Territory,Gender,Female,10.42320819112628,9.535836177474403,6.84641638225256,9.890784982935154,3.6313993174061436
2023,3,Australian Capital Territory,Gender,Male,13.194180898165717,7.356103731815307,8.950031625553448,12.011385199240987,7.944339025932953
2023,3,Australian Capital Territory,Indigeneity,Indigenous,31.018518518518523,23.703703703703706,23.61111111111111,30.277777777777775,24.074074074074076
2023,3,Australian Capital Territory,Indigeneity,Non-Indigenous,11.08736860244701,7.768395657418576,7.285886610373944,10.225745304153024,5.190418748922972
2023,3,Australian Capital Territory,Language background,LBOTE,10.33457249070632,8.698884758364313,7.295539033457249,7.890334572490707,4.349442379182156
2023,3,Australian Capital Territory,Language background,Non-LBOTE,12.568361870687452,8.101201124456939,8.152312803475596,12.578584206491183,6.670074111934578
2023,3,Australian Capital Territory,Parental education,Parental education: Year 11,34.65648854961832,26.56488549618321,23.66412213740458,33.74045801526718,24.427480916030532
2023,3,Australian Capital Territory,Parental education,Parental education: Year 12,21.475409836065573,17.950819672131146,14.672131147540984,18.278688524590166,9.426229508196721
2023,3,Australian Capital Territory,Parental education,Parental education: bachelor,7.3218304576144035,4.896224056014003,4.561140285071268,6.916729182295573,3.0257564391097773
2023,3,Australian Capital Territory,Parental education,Parental education: certificate,23.146341463414632,16.097560975609756,16.292682926829265,21.707317073170735,13.048780487804878
2023,3,Australian Capital Territory,Parental education,Parental education: diploma,16.051502145922747,11.759656652360514,11.530758226037197,14.220314735336196,8.726752503576538
2023,3,Australian Capital Territory,Parental education,Parental education: not stated,14.851485148514854,11.584158415841586,10.0,13.267326732673268,6.732673267326733
2023,3,Australian Capital Territory,Parental occupation,Not in paid work for 12 months,32.35849056603774,23.20754716981132,24.056603773584904,26.13207547169811,20.0
2023,3,Australian Capital Territory,Parental occupation,Other managers and associate professionals,9.767441860465116,5.751937984496124,6.511627906976744,8.434108527131782,4.248062015503876
2023,3,Australian Capital Territory,Parental occupation,Parental occupation not stated/unknown,17.659574468085104,13.404255319148936,13.191489361702127,17.340425531914896,9.46808510638298
2023,3,Australian Capital Territory,Parental occupation,Senior managers and professionals,8.250912711583139,5.356787255227348,4.938599402588782,7.978758712246929,3.39196813806837
2023,3,Australian Capital Territory,Parental occupation,"Skilled trades, clerical and sales",15.43550165380375,11.973539140022051,11.289966923925029,14.950385887541346,9.45975744211687
2023,3,Australian Capital Territory,Parental occupation,"Unskilled manual, office & sales",24.57912457912458,22.962962962962962,16.094276094276093,21.616161616161612,12.390572390572393
2023,3,New South Wales,ABS remoteness,Inner regional,16.65443104352386,11.097011012060829,10.968012585212374,13.866806502359728,6.758259045621395
2023,3,New South Wales,ABS remoteness,Major cities,9.380481803389292,7.506449180457992,6.328266592583772,7.372570808694157,3.7218716513870693
2023,3,New South Wales,ABS remoteness,Outer regional,21.616605616605618,14.905982905982906,14.7985347985348,17.704517704517706,8.747252747252746
2023,3,New South Wales,ABS remoteness,Remote,33.705882352941174,19.88235294117647,22.176470588235293,28.70588235294118,17.411764705882355
2023,3,New South Wales,ABS remoteness,Very remote,49.361702127659576,45.53191489361702,42.340425531914896,41.70212765957447,28.297872340425528
2023,3,New South Wales,All,All,11.402831662215954,8.57761878369527,7.65758049075427,9.150602106111757,4.58346349574243
2023,3,New South Wales,Gender,Female,9.47622918360116,9.124825444465287,5.941349340336397,7.618749869734676,2.8495800245940934
2023,3,New South Wales,Gender,Male,13.206251341384895,8.06586931496693,9.264628411995394,10.584356037695356,6.2068561840282515
2023,3,New South Wales,Indigeneity,Indigenous,32.17932031814895,24.59869848156182,22.808387563268255,27.18148951554592,16.734634851771514
2023,3,New South Wales,Indigeneity,Non-Indigenous,9.679837683551703,7.2389009250662,6.439010970115891,7.638960532801449,3.580820064880727
2023,3,New South Wales,Language background,LBOTE,8.312905993381541,7.744208849123667,6.179066062017404,5.616497119745066,3.1609265841402134
2023,3,New South Wales,Language background,Non-LBOTE,13.09467095540294,9.011562201164915,8.5358602103799,11.043727723202643,5.365556811266627
2023,3,New South Wales,Parental education,Parental education: Year 11,32.160903316866616,26.35144671841919,23.824982357092452,26.893436838390972,16.381086803105156
2023,3,New South Wales,Parental education,Parental education: Year 12,16.791486007094996,14.469846275128106,11.355932203389832,12.715806070161609,6.696886085928262
2023,3,New South Wales,Parental education,Parental education: bachelor,4.026529173276925,2.953904459721488,2.491186321170457,3.244315177154944,1.327780715670721
2023,3,New South Wales,Parental education,Parental education: certificate,18.18334958772941,12.974554481780299,12.222714779679048,14.510151609185213,7.148683393917901
2023,3,New South Wales,Parental education,Parental education: diploma,11.165303287544374,7.942583732057415,7.203272109893502,8.541441580490815,3.7552091372125327
2023,3,New South Wales,Parental education,Parental education: not stated,13.099093264248705,9.944948186528498,8.316062176165802,10.971502590673573,5.605569948186528
2023,3,New South Wales,Parental occupation,Not in paid work for 12 months,26.41099452131117,22.154331878540255,19.323985513975302,21.46717429659207,13.26028414894605
2023,3,New South Wales,Parental occupation,Other managers and associate professionals,6.844435600218894,4.508233421222825,4.181881498432914,5.478334411223322,2.1809860205959897
2023,3,New South Wales,Parental occupation,Parental occupation not stated/unknown,13.248518143703919,10.345525516842562,8.593320803816685,11.016336562093391,5.684545323116959
2023,3,New South Wales,Parental occupation,Senior managers and professionals,4.359444771366264,2.960296306552667,2.6646820589151585,3.6969088580428537,1.4330714112638028
2023,3,New South Wales,Parental occupation,"Skilled trades, clerical and sales",12.962417446666983,9.181356012733406,8.468665367985936,10.071744191571245,4.633439445051551
2023,3,New South Wales,Parental occupation,"Unskilled manual, office & sales",19.037526059763728,14.913134120917304,13.297428769979152,14.921820708825573,7.814454482279361
2023,3,Northern Territory,ABS remoteness,Outer regional,23.526370217166495,17.869700103412615,16.970010341261634,21.158221302998967,13.195449844881074
2023,3,Northern Territory,ABS remoteness,Remote,45.108225108225106,42.51082251082251,37.056277056277054,43.14574314574314,37.316017316017316
2023,3,Northern Territory,ABS remoteness,Very remote,79.41721854304635,75.78807947019868,70.17218543046357,79.41721854304636,75.47019867549669
2023,3,Northern Territory,Gender,Female,40.07294832826748,37.24012158054711,31.489361702127656,38.006079027355625,28.74164133738602
2023,3,Northern Territory,Gender,Male,40.54763262977753,34.32972047917855,34.07872219053053,39.212778094694805,35.00285225328009
2023,3,Northern Territory,Indigeneity,Indigenous,73.25581395348837,69.11337209302324,63.604651162790695,71.67151162790697,66.9186046511628
2023,3,Northern Territory,Indigeneity,Non-Indigenous,17.855361596009974,12.927680798004987,11.870324189526185,16.069825436408976,8.119700748129675
2023,3,Northern Territory,Language background,LBOTE,57.291280148423006,54.96598639455783,49.70933828076685,54.75572047000619,51.20593692022264
2023,3,Northern Territory,Language background,Non-LBOTE,23.8561320754717,17.181603773584904,16.68632075471698,22.830188679245282,13.278301886792454
2023,3,Northern Territory,Parental education,Parental education: Year 11,83.40760157273918,80.0786369593709,73.26343381389253,82.98820445609437,78.58453473132371
2023,3,Northern Territory,Parental education,Parental education: Year 12,54.03314917127071,50.165745856353595,45.0828729281768,53.03867403314917,46.51933701657459
2023,3,Northern Territory,Parental education,Parental education: bachelor,15.684987694831829,10.877768662838392,10.434782608695652,14.520098441345366,8.219852337981953
2023,3,Northern Territory,Parental education,Parental education: certificate,37.21691678035471,32.57844474761255,30.12278308321964,35.11596180081856,24.856753069577078
2023,3,Northern Territory,Parental education,Parental education: diploma,28.028846153846153,21.778846153846153,19.038461538461537,23.990384615384617,16.25
2023,3,Northern Territory,Parental occupation,Not in paid work for 12 months,81.60206718346252,78.91472868217055,73.66925064599484,81.44702842377262,78.52713178294573
2023,3,Northern Territory,Parental occupation,Other managers and associate professionals,22.26843100189036,16.03024574669187,13.837429111531192,20.1890359168242,10.0945179584121
2023,3,Northern Territory,Parental occupation,Parental occupation not stated/unknown,64.24242424242425,58.58585858585859,54.94949494949495,60.0,60.80808080808081
2023,3,Northern Territory,Parental occupation,Senior managers and professionals,17.12799167533819,11.98751300728408,11.675338189386055,15.79604578563996,8.553590010405827
2023,3,Northern Territory,Parental occupation,"Skilled trades, clerical and sales",29.759229534510435,24.430176565008026,22.086677367576243,28.025682182985552,18.876404494382022
2023,3,Northern Territory,Parental occupation,"Unskilled manual, office & sales",50.24271844660194,46.94174757281554,40.728155339805824,46.019417475728154,40.09708737864077
2023,3,Queensland,ABS remoteness,Inner regional,20.430599369085172,15.279640293444825,14.818260663880784,18.701892744479494,10.342163355408388
2023,3,Queensland,ABS remoteness,Major cities,12.712645756124017,10.000451956973695,9.175497661386899,11.519479345566301,6.759004021871752
2023,3,Queensland,ABS remoteness,Outer regional,22.412038999576094,17.989821882951656,16.67691003496874,18.94658753709199,11.905872376510493
2023,3,Queensland,ABS remoteness,Remote,37.78012684989429,32.51585623678647,29.757127771911296,32.74841437632136,22.212855637513172
2023,3,Queensland,ABS remoteness,Very remote,53.18181818181819,47.590909090909086,45.18181818181818,44.840909090909086,33.18906605922551
2023,3,Queensland,All,All,16.358224711522954,12.883453574989735,12.012079808834091,14.605222644165211,8.691432592505716
2023,3,Queensland,Gender,Female,14.189974409152489,13.815072411405174,9.769416014449126,12.86828240252898,5.946840853676892
2023,3,Queensland,Gender,Male,18.419096626643796,11.998284488920659,14.142060883235672,16.256146369353914,11.294057113455107
2023,3,Queensland,Indigeneity,Indigenous,41.43933569121943,36.789174227279716,32.54920049200492,35.30370598185453,26.461633092418886
2023,3,Queensland,Indigeneity,Non-Indigenous,13.520262580613238,10.17089505460064,9.682537064828406,12.254531659766776,6.649625647283881
2023,3,Queensland,Language background,LBOTE,14.095002648772734,13.425770555506494,11.621788646596627,10.821119547942786,7.940657011656657
2023,3,Queensland,Language background,Non-LBOTE,16.608293614666454,12.582344014995982,11.922822924661322,15.19627269319338,8.674638586471533
2023,3,Queensland,Parental education,Parental education: Year 11,42.14060258249641,36.28013777267508,33.33333333333333,36.12051649928264,25.73394495412844
2023,3,Queensland,Parental education,Parental education: Year 12,28.306709265175716,23.947885939036382,21.262278978389,23.548783484885725,16.27826941986234
2023,3,Queensland,Parental education,Parental education: bachelor,5.904789217092056,3.999139507367967,4.020071684587814,5.843848580441641,2.4871877575887895
2023,3,Queensland,Parental education,Parental education: certificate,22.88933559035125,18.273381294964032,16.874735505713073,20.242276766821835,12.176258992805755
2023,3,Queensland,Parental education,Parental education: diploma,16.160642570281126,11.64859437751004,11.043067965063749,14.485943775100402,7.604417670682731
