Word,log_freq_pm,Nletters,Nphon,Nsyll,Perc_known_final,letters_per_syll,phon_per_syll,letters_per_phon,letters_x_syll,phon_x_syll,is_lemma_match,lemma_length_diff,AoA_final,Age_Group
anxious,2.7145648821234034,7,6,2,1.0,3.5,3.0,1.1666666666666667,14,12,1,0,10.21,age_8_plus
any,7.003404082373939,3,3,2,1.0,1.5,1.5,1.0,6,6,1,0,5.997920000000001,below_6
anybody,5.429001572525793,7,7,4,1.0,1.75,1.75,1.0,28,28,1,0,5.113389000000001,below_6
anyhow,2.782344897185146,6,5,3,1.0,2.0,1.6666666666666667,1.2,18,15,1,0,7.745668000000001,age_6_8
anyone,5.54617265987271,6,6,3,0.95,2.0,2.0,1.0,18,18,1,0,5.3585,below_6
anything,6.811525068235973,8,6,3,1.0,2.6666666666666665,2.0,1.3333333333333333,24,18,1,0,6.115147,age_6_8
anytime,3.237524383946274,7,6,3,1.0,2.3333333333333335,2.0,1.1666666666666667,21,18,1,0,5.89,below_6
anyway,5.478594350967515,6,5,3,1.0,2.0,1.6666666666666667,1.2,18,15,1,0,6.306973,age_6_8
anyways,2.2727321298443646,7,6,3,1.0,2.3333333333333335,2.0,1.1666666666666667,21,18,0,1,6.306973,age_6_8
apache,1.778601384650544,6,5,3,0.8888888888888888,2.0,1.6666666666666667,1.2,18,15,1,0,10.5,age_8_plus
apaches,1.1307694003026412,7,6,3,0.8888888888888888,2.3333333333333335,2.0,1.1666666666666667,21,18,0,1,10.5,age_8_plus
apart,3.871609424227842,5,5,2,1.0,2.5,2.5,1.0,10,10,1,0,6.637340000000001,age_6_8
apartment,4.431283543309196,9,9,3,1.0,3.0,3.0,1.0,27,27,1,0,7.8,age_6_8
apartments,1.6516706760573734,10,10,3,1.0,3.3333333333333335,3.3333333333333335,1.0,30,30,1,0,6.56,age_6_8
ape,2.367123614131617,3,2,1,1.0,3.0,2.0,1.5,3,2,1,0,5.89,below_6
apes,1.6288559982912019,4,3,1,1.0,4.0,3.0,1.3333333333333333,4,3,0,1,5.89,below_6
apocalypse,1.2443240998495035,10,9,4,1.0,2.5,2.25,1.1111111111111112,40,36,1,0,12.78,age_8_plus
